Star,FileName,RAdeg,DEdeg,Dist,Rad,Rad-Flame,Mass-Flame
HD 184571,xsl_spectrum_X0679_merged.fits,293.75742744529,4.31125946945,177.2856,4.3199,4.4228,2.067
HD 185094,xsl_spectrum_X0668_merged.fits,294.43226301162,-5.06185329956,78.0542,1.5838,1.593,1.423
HD 232078,xsl_spectrum_X0210_merged.fits,294.55034068809,16.80697367292,1023.1874,100.7271,,
HD 232078,xsl_spectrum_X0273_merged.fits,294.55034068809,16.80697367292,1023.1874,100.7271,,
NGC 6838 1078,xsl_spectrum_X0494_merged.fits,298.40490897457,18.78893891009,2753.0908,21.3364,26.1343,3.801
NGC 6838 1078,xsl_spectrum_X0748_merged.fits,298.40490897457,18.78893891009,2753.0908,21.3364,26.1343,3.801
NGC 6838 1073,xsl_spectrum_X0735_merged.fits,298.42723411918,18.78565843239,3142.8301,6.1309,5.5167,2.181
NGC 6838 1073,xsl_spectrum_X0735_merged.fits,298.4263630768,18.78567372468,1603.6826,0.9103,0.8408,0.802
NGC 6838 1073,xsl_spectrum_X0762_merged_scl.fits,298.42723411918,18.78565843239,3142.8301,6.1309,5.5167,2.181
NGC 6838 1073,xsl_spectrum_X0762_merged_scl.fits,298.4263630768,18.78567372468,1603.6826,0.9103,0.8408,0.802
NGC 6838 1071,xsl_spectrum_X0734_merged.fits,298.43241565154,18.79153696268,1445.4709,0.5366,,
NGC 6838 1071,xsl_spectrum_X0734_merged.fits,298.43097362182,18.79275395477,2813.2773,0.9281,,
NGC 6838 1066,xsl_spectrum_X0718_merged.fits,298.43853777581,18.78205144809,6278.52,43.0754,28.1315,3.189
NGC 6838 1066,xsl_spectrum_X0719_merged.fits,298.43853777581,18.78205144809,6278.52,43.0754,28.1315,3.189
NGC 6838 1066,xsl_spectrum_X0720_merged.fits,298.43853777581,18.78205144809,6278.52,43.0754,28.1315,3.189
NGC 6838 1063,xsl_spectrum_X0713_merged.fits,298.44401267516,18.7956165226,4744.9058,20.5993,16.1622,2.993
NGC 6838 1063,xsl_spectrum_X0714_merged.fits,298.44401267516,18.7956165226,4744.9058,20.5993,16.1622,2.993
NGC 6838 1037,xsl_spectrum_X0491_merged.fits,298.45005659897,18.78573182899,2658.3391,7.922,12.3208,2.997
NGC 6838 1037,xsl_spectrum_X0704_merged.fits,298.45005659897,18.78573182899,2658.3391,7.922,12.3208,2.997
NGC 6838 1037,xsl_spectrum_X0705_merged.fits,298.45005659897,18.78573182899,2658.3391,7.922,12.3208,2.997
NGC 6838 1039,xsl_spectrum_X0389_merged.fits,298.45308560108,18.78817459739,2975.3687,5.8745,7.2673,2.482
NGC 6838 1039,xsl_spectrum_X0389_merged.fits,298.45441614611,18.78810825421,1632.1183,0.5582,0.4558,
NGC 6838 1039,xsl_spectrum_X0389_merged.fits,298.45396284689,18.78716269825,2559.4526,5.4518,6.9235,2.298
NGC 6838 1039,xsl_spectrum_X0706_merged_scl.fits,298.45308560108,18.78817459739,2975.3687,5.8745,7.2673,2.482
NGC 6838 1039,xsl_spectrum_X0706_merged_scl.fits,298.45441614611,18.78810825421,1632.1183,0.5582,0.4558,
NGC 6838 1039,xsl_spectrum_X0706_merged_scl.fits,298.45396284689,18.78716269825,2559.4526,5.4518,6.9235,2.298
NGC 6838 1053,xsl_spectrum_X0712_merged.fits,298.46098794937,18.81874662946,3965.6819,31.9538,32.0478,4.601
NGC 6838 1053,xsl_spectrum_X0712_merged.fits,298.46212707626,18.81943328496,4888.2666,10.2492,9.6502,2.975
CL* NGC 6838 AH A2,xsl_spectrum_X0408_merged.fits,298.47579462012,18.75907262865,4133.4302,9.7691,11.5439,2.901
CL* NGC 6838 AH A2,xsl_spectrum_X0681_merged.fits,298.47579462012,18.75907262865,4133.4302,9.7691,11.5439,2.901
CL* NGC 6838 AH A2,xsl_spectrum_X0701_merged_scl.fits,298.47579462012,18.75907262865,4133.4302,9.7691,11.5439,2.901
G024-003,xsl_spectrum_X0480_merged.fits,301.43405849057,4.04725762139,130.3242,0.9382,0.94,
HD 345957,xsl_spectrum_X0213_merged.fits,302.69984757933,23.96542265615,109.3881,1.6638,1.6626,1.161
HD 191709,xsl_spectrum_X0671_merged.fits,302.82870173111,-0.12658086302,124.3561,3.433,3.3709,1.856
HD 193225,xsl_spectrum_X0483_merged.fits,304.75300582227,2.23340757129,86.8475,1.7212,1.7225,1.539
HD 193281,xsl_spectrum_X0194_merged_scl.fits,305.11616562355,-29.19721428436,162.2406,3.1087,3.155,2.776
HD 193281,xsl_spectrum_X0267_merged.fits,305.11616562355,-29.19721428436,162.2406,3.1087,3.155,2.776
HD 193896,xsl_spectrum_X0195_merged.fits,305.75340202625,-9.65478358283,183.7209,13.6809,13.4153,3.193
HD 193896,xsl_spectrum_X0297_merged.fits,305.75340202625,-9.65478358283,183.7209,13.6809,13.4153,3.193
HD 194453,xsl_spectrum_X0196_merged.fits,306.35596048179,6.6417927872,188.7418,2.9502,3.0796,2.835
